pattern,result,desired_response
hello,1,
nothing much,0,n
im not feeling well,1,
not right now,1,
im depressed i guess,1,
im having too much work and i feel so stressed,1,
sure i will do that,1,
nothing much,0,n
no i think im fine now,1,
nothing much im just bored,1,
yea sure,0,n
heyy,1,
im not doing well these days,1,
sure thing,0,n
mm no i have too much to do these days,1,
maybe ive postponed work too much,0,n
yea thank you,0,n
who are you,0,n
im doing good today,0,n
noo its fine im just spending time,1,
heeeya,1,
i need some advice,0,n
do you know how to releive stress,1,
oh okay thanks ill seek some help,0,n
hii bro,1,
im not sure actually,1,
im feeling fed up,1,
good afternoon,0,n
its going pretty well,1,
i just feel like visiting,1,
good dayy,0,n
im feeling a little nervous,1,
good morning,1,
im feeling down today,1,
im not sure why,1,
good evening,0,n
its been a lonely day for me,0,n
im not very social these days,1,
