pattern,result,desired_response
hello,1,
nothing much,1,
sure,0,what would you ike to talk about?
im not feeling well,1,
not right now,1,
im depressed i guess,1,
im having too much work and i feel so stressed,1,
sure i will do that,0,n
nothing much,1,
no i think im fine now,1,
nothing much im just bored,1,
yea sure,0,n
heyy,1,
im not doing well these days,0,n
sure thing,0,n
mmm no i have too much to do these days,0,n
maybe ive postponed work too much,0,n
yeaa thank you,1,
who are you,1,
im doing good today,1,
noo its fine im just spending time,1,
heeya,1,
i need some advice,1,
do you know how to releive stress,1,
oh okay thanks ill seek some help,1,
hii bro,1,
im not sure actually,0,n
im feeling fed up,1,
good afternoon,1,
its going pretty well,0,n
i just felt like visiting,0,ww
good dayy,0,n
im feeling a little nervous,1,
good morning,1,
im feeling down today,1,
im not sure why,1,
good evening,1,
its been a lonely day for me,0,n
im not very social these days,0,n
